NOC,Past_Gold_Avg,Past_Total_Avg,Past_Gold_Sum,Past_Total_Sum,Predicted_Gold,Predicted_Total,Gold_Lower,Gold_Upper,Total_Lower,Total_Upper
Algeria,0.3333333333333333,1.6666666666666667,1.0,5.0,1,4,0,10,0,29
San Marino,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Independent Olympic Participants,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Montenegro,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Independent Olympic Athletes,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Virgin Islands,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Suriname,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Refugee Olympic Team,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Senegal,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Netherlands Antilles,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Dominica,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Cabo Verde,0.0,0.0,0.0,0.0,1,3,0,10,0,28
ROC,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Albania,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Turkmenistan,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Djibouti,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Guatemala,0.0,1.0,0.0,1.0,1,3,0,10,0,28
Costa Rica,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Zambia,0.0,1.0,0.0,2.0,1,3,0,10,0,28
Burkina Faso,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Syria,0.0,0.0,0.0,0.0,1,3,0,10,0,28
North Macedonia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Barbados,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Namibia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Gabon,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Moldova,0.0,1.3333333333333333,0.0,4.0,1,3,0,10,0,28
Macedonia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Saudi Arabia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Vietnam,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Tonga,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Eritrea,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Paraguay,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Serbia and Montenegro,0.0,0.0,0.0,0.0,1,3,0,10,0,28
United Arab Emirates,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Russia,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Mozambique,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Afghanistan,0.0,0.0,0.0,0.0,1,3,0,10,0,28
Kuwait,0.0,0.0,0.0,0.0,1,3,0,10,0,28
